ONCOTREE_CODE	HIGHEST_LEVEL	n	freq	Freq	label
GIST	LEVEL_1	95	0.693430656934307	137	GIST n= 137
ILC	LEVEL_1	100	0.526315789473684	190	ILC n= 190
MDLC	LEVEL_1	28	0.5	56	MDLC n=  56
IDC	LEVEL_1	393	0.423948220064725	927	IDC n= 927
UTUC	LEVEL_1	30	0.365853658536585	82	UTUC n=  82
LUAD	LEVEL_1	485	0.357406042741341	1357	LUAD n=1357
ESCA	LEVEL_1	37	0.330357142857143	112	ESCA n= 112
SKCM	LEVEL_1	60	0.307692307692308	195	SKCM n= 195
BLCA	LEVEL_1	84	0.269230769230769	312	BLCA n= 312
STAD	LEVEL_1	25	0.165562913907285	151	STAD n= 151
PRAD	LEVEL_1	109	0.156160458452722	698	PRAD n= 698
CHOL	LEVEL_1	7	0.12280701754386	57	CHOL n=  57
IHCH	LEVEL_1	14	0.121739130434783	115	IHCH n= 115
COAD	LEVEL_1	64	0.0883977900552486	724	COAD n= 724
THPA	LEVEL_1	7	0.0752688172043011	93	THPA n=  93
THPD	LEVEL_1	4	0.0666666666666667	60	THPD n=  60
COADREAD	LEVEL_1	5	0.0555555555555556	90	COADREAD n=  90
LUSC	LEVEL_1	8	0.0470588235294118	170	LUSC n= 170
HGSOC	LEVEL_1	6	0.0451127819548872	133	HGSOC n= 133
READ	LEVEL_1	4	0.0264900662251656	151	READ n= 151
PAAD	LEVEL_1	2	0.00520833333333333	384	PAAD n= 384
GBM	LEVEL_1	1	0.0034965034965035	286	GBM n= 286
LUAD	LEVEL_2	65	0.0478997789240973	1357	LUAD n=1357
MDLC	LEVEL_2	2	0.0357142857142857	56	MDLC n=  56
READ	LEVEL_2	5	0.033112582781457	151	READ n= 151
COAD	LEVEL_2	23	0.031767955801105	724	COAD n= 724
SKCM	LEVEL_2	6	0.0307692307692308	195	SKCM n= 195
GIST	LEVEL_2	4	0.0291970802919708	137	GIST n= 137
ILC	LEVEL_2	4	0.0210526315789474	190	ILC n= 190
IDC	LEVEL_2	16	0.017259978425027	927	IDC n= 927
LUSC	LEVEL_2	2	0.0117647058823529	170	LUSC n= 170
COADREAD	LEVEL_2	1	0.0111111111111111	90	COADREAD n=  90
CCRCC	LEVEL_2	2	0.0099009900990099	202	CCRCC n= 202
SKCM	LEVEL_3A	70	0.358974358974359	195	SKCM n= 195
THPD	LEVEL_3A	18	0.3	60	THPD n=  60
IHCH	LEVEL_3A	31	0.269565217391304	115	IHCH n= 115
CHOL	LEVEL_3A	13	0.228070175438596	57	CHOL n=  57
LUAD	LEVEL_3A	215	0.158437730287399	1357	LUAD n=1357
ILC	LEVEL_3A	29	0.152631578947368	190	ILC n= 190
LUSC	LEVEL_3A	19	0.111764705882353	170	LUSC n= 170
IDC	LEVEL_3A	90	0.0970873786407767	927	IDC n= 927
THPA	LEVEL_3A	9	0.0967741935483871	93	THPA n=  93
UEC	LEVEL_3A	9	0.0947368421052632	95	UEC n=  95
BLCA	LEVEL_3A	24	0.0769230769230769	312	BLCA n= 312
CSCC	LEVEL_3A	3	0.0545454545454545	55	CSCC n=  55
MDLC	LEVEL_3A	3	0.0535714285714286	56	MDLC n=  56
UTUC	LEVEL_3A	3	0.0365853658536585	82	UTUC n=  82
PAAD	LEVEL_3A	12	0.03125	384	PAAD n= 384
CCRCC	LEVEL_3A	2	0.0099009900990099	202	CCRCC n= 202
AASTR	LEVEL_3B	62	0.720930232558139	86	AASTR n=  86
THPA	LEVEL_3B	62	0.666666666666667	93	THPA n=  93
UEC	LEVEL_3B	56	0.589473684210526	95	UEC n=  95
GBM	LEVEL_3B	137	0.479020979020979	286	GBM n= 286
CSCC	LEVEL_3B	26	0.472727272727273	55	CSCC n=  55
CUP	LEVEL_3B	67	0.458904109589041	146	CUP n= 146
SEM	LEVEL_3B	29	0.381578947368421	76	SEM n=  76
UTUC	LEVEL_3B	31	0.378048780487805	82	UTUC n=  82
COAD	LEVEL_3B	260	0.359116022099448	724	COAD n= 724
BLCA	LEVEL_3B	108	0.346153846153846	312	BLCA n= 312
ULMS	LEVEL_3B	18	0.315789473684211	57	ULMS n=  57
COADREAD	LEVEL_3B	28	0.311111111111111	90	COADREAD n=  90
MFH	LEVEL_3B	18	0.305084745762712	59	MFH n=  59
THPD	LEVEL_3B	18	0.3	60	THPD n=  60
READ	LEVEL_3B	40	0.264900662251656	151	READ n= 151
CHOL	LEVEL_3B	15	0.263157894736842	57	CHOL n=  57
NBL	LEVEL_3B	19	0.2375	80	NBL n=  80
ACYC	LEVEL_3B	17	0.232876712328767	73	ACYC n=  73
STAD	LEVEL_3B	33	0.218543046357616	151	STAD n= 151
IHCH	LEVEL_3B	25	0.217391304347826	115	IHCH n= 115
URCC	LEVEL_3B	11	0.203703703703704	54	URCC n=  54
HGSOC	LEVEL_3B	27	0.203007518796992	133	HGSOC n= 133
PANET	LEVEL_3B	15	0.2	75	PANET n=  75
BMGCT	LEVEL_3B	13	0.185714285714286	70	BMGCT n=  70
ESCA	LEVEL_3B	20	0.178571428571429	112	ESCA n= 112
LUSC	LEVEL_3B	30	0.176470588235294	170	LUSC n= 170
MCC	LEVEL_3B	11	0.174603174603175	63	MCC n=  63
SCLC	LEVEL_3B	13	0.158536585365854	82	SCLC n=  82
CCRCC	LEVEL_3B	32	0.158415841584158	202	CCRCC n= 202
HCC	LEVEL_3B	13	0.152941176470588	85	HCC n=  85
PAAD	LEVEL_3B	53	0.138020833333333	384	PAAD n= 384
