cancer_type	gene_symbol_label	n	total_count	freq	percentage	label_text	gene_symbol	pathway	highest_level	highest_level_label	order
LUAD	ALK Fus	45	1357	0.0331613854089904	3.31613854089904	3	ALK	RTK-RAS	LEVEL_1	LEVEL_1	3
COAD	ALK	3	724	0.00414364640883978	0.414364640883978	<1	ALK	RTK-RAS	LEVEL_3B	LEVEL_3B	3
COADREAD	ALK	1	90	0.0111111111111111	1.11111111111111	1	ALK	RTK-RAS	LEVEL_3B	LEVEL_3B	3
CSCC	ALK	1	55	0.0181818181818182	1.81818181818182	2	ALK	RTK-RAS	LEVEL_3B	LEVEL_3B	3
IDC	ALK Fus	1	927	0.00107874865156419	0.107874865156419	<1	ALK	RTK-RAS	LEVEL_3B	LEVEL_3B	3
NBL	ALK	10	80	0.125	12.5	12	ALK	RTK-RAS	LEVEL_3B	LEVEL_3B	3
PAAD	ALK Fus	1	384	0.00260416666666667	0.260416666666667	<1	ALK	RTK-RAS	LEVEL_3B	LEVEL_3B	3
PRAD	ALK	1	698	0.00143266475644699	0.143266475644699	<1	ALK	RTK-RAS	LEVEL_3B	LEVEL_3B	3
SCLC	ALK	1	82	0.0121951219512195	1.21951219512195	1	ALK	RTK-RAS	LEVEL_3B	LEVEL_3B	3
SKCM	ALK	1	195	0.00512820512820513	0.512820512820513	<1	ALK	RTK-RAS	LEVEL_3B	LEVEL_3B	3
STAD	ALK	1	151	0.00662251655629139	0.662251655629139	<1	ALK	RTK-RAS	LEVEL_3B	LEVEL_3B	3
THPA	ALK	1	93	0.010752688172043	1.0752688172043	1	ALK	RTK-RAS	LEVEL_3B	LEVEL_3B	3
URCC	ALK Fus	1	54	0.0185185185185185	1.85185185185185	2	ALK	RTK-RAS	LEVEL_3B	LEVEL_3B	3
PRAD	ATM Del	23	698	0.0329512893982808	3.29512893982808	3	ATM	DDR	LEVEL_1	LEVEL_1	5
BLCA	ATM Del	18	312	0.0576923076923077	5.76923076923077	6	ATM	DDR	LEVEL_3B	LEVEL_3B	5
BMGCT	ATM Del	2	70	0.0285714285714286	2.85714285714286	3	ATM	DDR	LEVEL_3B	LEVEL_3B	5
COAD	ATM Del	38	724	0.0524861878453039	5.24861878453039	5	ATM	DDR	LEVEL_3B	LEVEL_3B	5
GIST	ATM Del	2	137	0.0145985401459854	1.45985401459854	1	ATM	DDR	LEVEL_3B	LEVEL_3B	5
HGSOC	ATM Del	2	133	0.0150375939849624	1.50375939849624	2	ATM	DDR	LEVEL_3B	LEVEL_3B	5
IDC	ATM Del	16	927	0.017259978425027	1.7259978425027	2	ATM	DDR	LEVEL_3B	LEVEL_3B	5
MCC	ATM Del	2	63	0.0317460317460317	3.17460317460317	3	ATM	DDR	LEVEL_3B	LEVEL_3B	5
MDLC	ATM Del	2	56	0.0357142857142857	3.57142857142857	4	ATM	DDR	LEVEL_3B	LEVEL_3B	5
NBL	ATM Del	4	80	0.05	5	5	ATM	DDR	LEVEL_3B	LEVEL_3B	5
PANET	ATM Del	2	75	0.0266666666666667	2.66666666666667	3	ATM	DDR	LEVEL_3B	LEVEL_3B	5
PRAD	ATM Del	23	698	0.0329512893982808	3.29512893982808	3	ATM	TP53	LEVEL_1	LEVEL_1	5
AASTR	ATM Del	1	86	0.0116279069767442	1.16279069767442	1	ATM	TP53	LEVEL_3B	LEVEL_3B	5
ACYC	ATM Del	2	73	0.0273972602739726	2.73972602739726	3	ATM	TP53	LEVEL_3B	LEVEL_3B	5
BLCA	ATM Del	18	312	0.0576923076923077	5.76923076923077	6	ATM	TP53	LEVEL_3B	LEVEL_3B	5
